sex,race,age,edu,state,positive
Male,White,21,4-Year College,CA,0
Female,Other,73,No HS,IL,0
Female,White,67,Some College,MO,0
Female,Black,23,4-Year College,OH,1
Female,Black,5,4-Year College,DC,1
Female,Other,12,No HS,LA,1
Female,Black,69,4-Year College,RI,0
Female,White,18,No HS,MS,1
Male,Other,97,4-Year College,NM,1
Female,Black,4,No HS,CT,0
Female,White,27,No HS,MT,1
Female,White,67,4-Year College,HI,1
Female,Other,73,4-Year College,NV,0
Female,Other,26,No HS,DC,1
Male,Black,35,Some College,MO,1
Female,White,76,Some College,RI,1
Male,Other,90,Post-Grad,DC,1
Male,Black,92,No HS,DE,1
Male,White,11,Some College,VI,1
Male,White,62,Post-Grad,FL,1
Male,Black,9,Some College,VA,0
Male,Black,80,Some College,OH,1
Male,Black,3,4-Year College,PA,0
Female,Black,0,Some College,NH,1
Female,White,66,4-Year College,KY,1
Male,White,39,No HS,VI,1
Female,Black,12,Post-Grad,SC,1
Female,Black,67,Post-Grad,RI,0
Male,White,20,Some College,NC,0
Male,Other,72,No HS,ID,0
Male,Black,82,4-Year College,KS,1
Male,Other,66,Post-Grad,NE,0
Female,White,73,Some College,SD,0
Female,Other,32,Post-Grad,KS,0
Male,White,27,4-Year College,SD,0
Male,Other,45,4-Year College,PR,0
Male,White,67,4-Year College,MI,0
Female,White,30,Some College,NH,0
Male,Black,32,No HS,MA,0
Male,Black,63,4-Year College,NH,0
Male,Black,42,Post-Grad,NM,0
Male,Black,62,Post-Grad,CO,0
Female,White,68,No HS,MA,0
Male,Black,46,4-Year College,NE,1
Male,Other,35,Some College,CT,0
Male,Other,14,HS,NE,1
Female,Black,59,No HS,KS,0
Male,Other,61,4-Year College,MI,1
Female,Other,39,No HS,IL,0
Male,Other,91,No HS,DC,0
Female,White,71,Some College,ID,0
Female,Black,77,4-Year College,DE,0
Male,Other,84,4-Year College,NJ,0
Male,Black,30,4-Year College,CO,0
Female,Black,31,Some College,PR,1
Male,White,43,4-Year College,NJ,0
Male,White,65,No HS,IL,0
Male,Other,63,Some College,NH,0
Male,Other,33,HS,NE,0
Female,White,8,HS,NE,1
Female,Black,32,4-Year College,PA,1
Female,White,90,No HS,TN,1
Male,Other,29,Some College,NJ,1
Male,White,56,No HS,MS,0
Male,White,58,Some College,VA,0
Male,White,66,Some College,OH,0
Male,Other,1,Some College,CA,1
Female,Other,70,Some College,OR,1
Male,Other,6,4-Year College,NM,0
Female,White,41,HS,RI,1
Male,Other,89,Post-Grad,CA,1
Female,Other,84,4-Year College,CA,1
Male,Other,88,Post-Grad,NH,1
Female,Other,65,Some College,OK,1
Male,Black,82,Some College,CO,0
Female,White,91,4-Year College,UT,1
Female,White,23,Post-Grad,NJ,1
Male,Other,67,4-Year College,PR,0
Female,Black,3,HS,NV,1
Male,Other,56,4-Year College,NV,0
Female,Black,36,No HS,SD,0
Male,Black,44,No HS,RI,1
Male,Other,66,4-Year College,DE,0
Female,Other,69,No HS,MO,0
Female,White,33,No HS,OK,0
Female,White,35,No HS,IL,0
Female,White,61,4-Year College,CO,0
Female,Other,76,Some College,CA,1
Male,White,4,Some College,CT,0
Male,Black,13,HS,VA,0
Male,Other,66,Post-Grad,MS,0
Male,White,41,Post-Grad,NY,1
Female,Black,44,Post-Grad,FL,0
Female,Black,60,Post-Grad,LA,1
Male,Black,73,Some College,CT,0
Female,White,95,Post-Grad,CO,0
Female,Black,67,4-Year College,MT,0
Male,Black,22,Post-Grad,OR,1
Female,Black,57,4-Year College,IA,1
Male,Black,69,Some College,MI,1
Male,Other,47,Post-Grad,MO,0
Female,White,61,HS,DE,0
Female,Other,82,No HS,ND,0
Female,Black,50,HS,IA,1
Female,White,64,Some College,GA,0
Female,Other,70,No HS,OH,0
Male,White,8,Some College,HI,1
Female,Other,77,4-Year College,MS,0
Female,Other,11,Post-Grad,VA,1
Male,Black,66,HS,NJ,0
Female,Other,0,Post-Grad,MI,1
Female,Other,24,Post-Grad,ID,1
Male,Other,73,4-Year College,VI,0
Female,Other,18,4-Year College,HI,0
Female,White,96,HS,DC,1
Female,White,82,No HS,MO,1
Male,Black,76,4-Year College,MA,0
Female,Other,69,No HS,NE,1
Female,White,42,No HS,KY,1
Male,White,73,Some College,KS,0
Male,Other,41,Post-Grad,RI,1
Female,White,69,No HS,SD,0
Female,Black,29,No HS,VA,0
Female,Other,10,Some College,DE,1
Male,White,23,Post-Grad,KS,0
Male,Black,74,Post-Grad,VA,1
Female,Black,19,Post-Grad,MN,1
Female,Black,31,4-Year College,OK,0
Female,White,78,No HS,FL,1
Male,White,15,No HS,KS,1
Female,Other,69,Some College,MS,0
Male,Other,31,Some College,TN,0
Female,Other,74,HS,UT,0
Female,Other,5,Some College,OR,1
Female,Other,42,4-Year College,VA,0
Male,White,58,HS,ID,0
Male,Black,34,Some College,LA,0
Female,Black,10,Some College,NV,1
Male,White,33,HS,IL,1
Female,Black,29,Post-Grad,OK,1
Female,Black,42,Some College,VI,1
Female,Black,74,4-Year College,MO,0
Female,Other,87,Some College,NY,0
Female,White,89,4-Year College,SC,0
Female,White,76,No HS,MO,1
Female,Other,43,Some College,DE,1
Male,Other,67,4-Year College,SD,1
Male,White,19,No HS,MS,0
Female,White,89,Post-Grad,ME,0
Female,Other,99,HS,MI,0
Female,Other,10,HS,RI,1
Male,Other,98,4-Year College,LA,0
Male,White,65,No HS,FL,0
Female,Black,45,No HS,MN,1
Female,Black,43,HS,NJ,0
Male,White,69,Post-Grad,ME,0
Male,Black,8,Some College,VA,1
Male,Black,25,Some College,MA,1
Female,White,96,Post-Grad,LA,1
Male,White,68,Some College,MD,0
Male,White,72,HS,KS,0
Male,Black,71,No HS,MN,0
Male,White,44,4-Year College,OH,0
Male,Black,9,No HS,VA,1
Female,Other,30,Post-Grad,OR,1
Male,White,73,No HS,IN,0
Male,White,38,HS,MS,1
Male,Black,9,Some College,DE,0
Male,Other,26,HS,PR,0
Male,Black,2,No HS,ND,0
Male,Other,2,HS,MD,0
Male,White,21,4-Year College,NY,1
Male,Black,69,No HS,OK,0
Female,White,86,Some College,KY,0
Female,White,16,HS,RI,0
Male,White,6,No HS,SC,1
Male,Other,73,4-Year College,NV,1
Female,Black,44,4-Year College,IN,0
Male,Other,33,Some College,NE,1
Female,Other,42,Post-Grad,MT,1
Female,White,70,4-Year College,OK,0
Female,White,66,No HS,NH,1
Male,Black,3,4-Year College,SD,1
Male,Black,74,No HS,SC,1
Female,White,33,Some College,NE,1
Female,White,72,Post-Grad,MD,1
Female,Black,33,Some College,GA,1
Female,Black,64,HS,DC,1
Female,White,82,4-Year College,FL,0
Male,Black,19,HS,NM,0
Male,Black,68,No HS,HI,0
Female,Other,24,Post-Grad,KY,0
Female,White,82,HS,ND,0
Female,Black,14,Post-Grad,MA,0
Female,White,32,HS,MD,1
Male,Other,94,4-Year College,GU,1
Female,Black,93,Some College,VA,1
Male,White,79,Some College,CO,1
Female,Other,37,No HS,PR,0
Female,Other,52,Post-Grad,MI,0
Female,White,85,Some College,HI,1
Female,Other,0,4-Year College,FL,1
Female,Black,9,4-Year College,IL,1
Female,Black,68,Post-Grad,OH,1
Male,Other,66,No HS,DC,0
Male,White,12,4-Year College,GU,0
Female,White,83,Some College,PR,0
Male,White,46,No HS,NE,0
Female,Other,47,No HS,TX,0
Male,Black,17,4-Year College,RI,0
Male,Other,1,Post-Grad,LA,0
Female,White,62,Post-Grad,CO,1
Female,White,21,No HS,NE,1
Female,Black,73,No HS,MT,0
Female,White,54,Some College,KY,0
Male,Black,21,4-Year College,IL,1
Female,White,15,No HS,NM,1
Male,Other,91,4-Year College,NC,0
Female,White,35,4-Year College,OR,0
Female,Other,19,No HS,NV,0
Male,Black,22,HS,PA,0
Male,Other,68,4-Year College,TN,0
Male,Other,72,No HS,SC,0
Male,Other,22,No HS,FL,1
Female,Other,22,Post-Grad,GA,0
Male,Black,96,No HS,SD,1
Male,White,21,Post-Grad,FL,1
Female,Other,25,Some College,NE,1
Male,Other,55,HS,TN,1
Male,White,25,4-Year College,MN,0
Female,Black,79,4-Year College,NY,0
Male,Other,73,Post-Grad,HI,1
Female,Other,8,HS,UT,1
Male,Black,76,Some College,ME,0
Male,White,77,HS,CO,1
Female,Other,52,Some College,FL,1
Male,Black,35,HS,MS,1
Male,White,100,No HS,NY,1
Female,Black,30,4-Year College,MI,0
Male,Other,28,Some College,DE,1
Female,Black,49,4-Year College,NV,1
Male,Black,24,Some College,PR,0
Male,White,65,No HS,IN,0
Male,White,15,HS,CT,0
Female,Other,71,Some College,KS,0
Female,White,35,HS,MA,0
Female,White,79,No HS,MA,1
Female,Black,53,No HS,MS,0
Female,Black,62,Post-Grad,ID,1
Female,White,23,No HS,ME,0
Male,Other,63,HS,SC,1
Male,White,57,No HS,IA,1
Male,Black,75,No HS,IL,0
Female,Other,34,Some College,OH,0
Female,Black,22,HS,IN,0
Female,Other,58,4-Year College,ID,0
Female,Other,74,Some College,HI,1
Male,Other,42,HS,GU,1
Male,Other,31,No HS,NC,1
Female,White,32,HS,CA,1
Female,Other,69,HS,FL,0
Female,Other,48,Some College,OR,1
Male,Other,94,Post-Grad,GU,1
Female,Black,41,Some College,GA,0
Female,White,20,Post-Grad,GU,1
Male,Other,17,HS,MN,1
Male,White,87,No HS,MD,0
Female,Other,30,Post-Grad,NC,0
Female,White,46,4-Year College,PR,0
Male,White,1,Some College,KS,0
Female,Other,30,No HS,SD,0
Male,Other,96,No HS,ND,0
Female,Other,93,4-Year College,MI,0
Female,White,98,No HS,LA,1
Female,Other,74,No HS,TX,0
Female,Other,48,Post-Grad,FL,1
Female,White,97,HS,KY,1
Female,Other,38,HS,OK,1
Female,White,16,No HS,NH,1
Female,Other,64,Post-Grad,CT,0
Female,White,80,Some College,IL,0
Female,White,10,No HS,CT,1
Female,Black,68,Some College,CA,0
Male,Other,2,Some College,ND,1
Female,White,21,HS,MS,0
Male,Other,47,Some College,NH,0
Male,Other,74,HS,CO,0
Male,White,16,HS,NV,0
Female,Black,69,Post-Grad,TN,1
Female,Black,93,HS,MO,0
Male,Black,43,Some College,VA,0
Male,Other,24,Some College,TN,0
Male,Other,65,Some College,CO,0
Male,Other,4,Post-Grad,MA,1
Male,Black,26,Post-Grad,NE,0
Female,White,100,4-Year College,MD,1
Female,Other,50,4-Year College,PR,0
Female,White,75,Post-Grad,ND,0
Female,Black,35,HS,OR,0
Female,White,18,4-Year College,SC,0
Female,Black,28,Some College,DC,0
Female,White,70,Some College,KS,1
Female,Other,24,No HS,IN,0
Male,White,10,4-Year College,SC,1
Female,Other,72,HS,MD,0
Male,White,33,HS,CA,1
Female,Black,70,4-Year College,FL,0
Female,Other,70,Post-Grad,PR,0
Female,White,21,HS,TN,0
Male,White,29,Some College,PA,0
Male,Black,11,Post-Grad,NM,0
Male,White,2,HS,CO,1
Female,White,67,No HS,KS,0
Female,Black,62,No HS,NY,1
Female,White,67,Some College,NM,0
Female,Other,13,No HS,VI,1
Male,White,33,4-Year College,MS,1
Female,Other,12,Some College,LA,1
Male,Black,90,No HS,NJ,0
Male,Other,41,Some College,ME,0
Female,Black,71,Post-Grad,SD,1
Female,Black,53,Post-Grad,NM,1
Male,White,19,Post-Grad,NJ,0
Female,White,54,HS,VA,0
Female,White,73,HS,SD,0
Male,Other,0,Some College,NJ,1
Male,White,96,HS,TN,0
Male,Black,3,4-Year College,CT,0
Female,Other,79,HS,KS,0
Female,Other,97,HS,NH,0
Female,White,68,4-Year College,NJ,0
Male,White,32,No HS,TX,0
Male,White,84,Some College,KY,1
Male,Other,79,Some College,TX,1
Male,Black,72,Some College,GU,1
Female,White,22,HS,DE,0
Female,Other,41,4-Year College,NY,1
Male,Black,26,No HS,MI,0
Female,White,60,Post-Grad,MI,1
Female,Black,34,Post-Grad,MI,1
Male,Black,1,Post-Grad,NH,1
Male,White,67,Some College,IL,0
Male,White,18,Post-Grad,MO,1
Female,Black,33,4-Year College,DC,1
Male,White,0,HS,MT,0
Female,White,74,4-Year College,TX,0
Male,Other,48,Some College,SD,0
Male,Other,40,HS,DE,0
Female,Other,0,Some College,DE,1
Male,Black,3,Post-Grad,NV,1
Male,White,53,Post-Grad,OH,1
Female,Other,60,Post-Grad,ND,1
Male,White,74,4-Year College,IL,0
Male,White,79,Post-Grad,MD,1
Male,Other,32,4-Year College,GA,1
Male,Black,20,HS,DC,0
Male,Other,13,HS,KY,0
Female,Black,35,4-Year College,LA,1
Female,Other,22,Post-Grad,NM,1
Male,White,32,HS,CT,1
Male,White,7,4-Year College,KY,1
Male,Other,89,HS,MT,0
Female,White,93,4-Year College,HI,1
Male,White,12,No HS,NC,1
Female,White,62,Some College,DC,1
Female,Other,44,Post-Grad,MN,0
Female,White,17,4-Year College,SD,1
Female,Other,41,4-Year College,IN,0
Male,White,89,HS,DE,0
Female,White,18,Post-Grad,TX,1
Female,Other,31,No HS,TN,1
Female,Other,96,No HS,NE,1
Female,Black,9,No HS,NH,0
Male,White,85,Post-Grad,IL,0
Male,Black,59,HS,NC,1
Female,White,37,Some College,NC,1
Male,White,66,Some College,MA,1
Male,Black,6,4-Year College,MD,0
Female,White,75,HS,OK,1
Female,White,67,HS,GA,0
Female,White,1,4-Year College,PA,0
Female,Other,56,Some College,SC,0
Female,Black,66,No HS,IL,0
Female,White,71,HS,TX,0
Female,Other,16,No HS,FL,0
Male,Black,17,HS,NH,0
Male,Black,2,HS,MO,0
Female,Black,66,HS,LA,1
Male,Black,13,4-Year College,VA,1
Male,Other,7,Post-Grad,GA,0
Male,Other,12,4-Year College,MA,0
Male,Other,15,Post-Grad,ID,1
Female,Black,11,4-Year College,TN,1
Male,Black,85,Some College,DE,1
Male,White,83,HS,VA,0
Female,Other,38,4-Year College,OK,1
Female,White,61,HS,SD,0
Male,Black,27,Post-Grad,OH,1
Male,Other,80,4-Year College,DE,0
Female,Other,15,Post-Grad,VA,1
Female,Other,43,Some College,NH,1
Female,Black,98,4-Year College,DE,1
Female,Black,17,No HS,VA,1
Female,Black,77,4-Year College,RI,0
Female,Black,52,4-Year College,IL,1
Female,White,26,Post-Grad,NM,1
Male,White,10,Post-Grad,ID,1
Female,Other,32,HS,SC,1
Male,Black,30,Post-Grad,VA,1
Female,White,49,Some College,ND,0
Female,Other,12,No HS,TN,0
Male,Black,71,No HS,CO,1
Male,White,4,HS,CT,0
Male,Black,16,4-Year College,VA,0
Female,Black,52,No HS,VA,1
Male,Other,11,Some College,UT,1
Male,Black,16,Post-Grad,GU,1
Female,Black,40,Some College,NJ,0
Female,White,32,No HS,PR,1
Female,White,77,Post-Grad,CT,0
Male,White,72,Some College,RI,0
Female,Black,78,No HS,MS,1
Male,Other,17,Post-Grad,MO,1
Male,White,85,Some College,UT,1
Male,Other,16,HS,NY,1
Female,Other,68,HS,ND,0
Female,Other,21,Some College,OR,1
Female,White,54,4-Year College,NH,0
Male,White,74,Some College,IL,1
Female,Other,18,No HS,CO,1
Male,Black,91,Some College,KS,1
Male,Black,68,4-Year College,FL,0
Male,White,13,4-Year College,IA,0
Female,Other,38,No HS,PA,0
Male,Black,27,Some College,KY,0
Female,White,66,HS,CO,0
Male,Black,34,No HS,NJ,1
Male,Other,1,HS,KY,0
Female,Other,73,Post-Grad,NE,0
Female,Black,30,Some College,NV,0
Male,White,48,Post-Grad,ME,0
Male,Other,5,HS,MA,1
Female,White,75,HS,OK,1
Male,Black,60,4-Year College,OH,0
Female,White,50,Some College,RI,1
Male,Black,85,Some College,TN,1
Female,Black,28,HS,PR,0
Male,Other,90,Some College,TX,0
Male,White,90,Post-Grad,SC,0
Male,White,27,Some College,KS,1
Female,White,50,4-Year College,KS,0
Female,Other,16,4-Year College,CO,1
Male,White,3,Some College,CT,1
Male,Other,28,Post-Grad,NM,0
Male,Black,79,Post-Grad,MS,0
Female,Black,55,Post-Grad,MN,1
Male,Other,53,HS,NH,0
Male,White,0,No HS,NC,0
Male,Black,3,Some College,KY,1
Male,Black,7,4-Year College,CA,1
Male,Black,82,Some College,CA,1
Male,White,12,Post-Grad,NY,1
Male,White,68,Post-Grad,OK,1
Female,Black,73,Post-Grad,NC,0
Female,Black,93,Some College,IA,0
Male,Black,71,No HS,MI,0
Female,Black,66,HS,OH,1
Female,Other,100,Some College,RI,0
Male,White,67,4-Year College,IN,0
Female,White,66,No HS,PA,0
Female,Other,5,HS,NY,1
Male,Other,12,Post-Grad,VI,0
Male,Black,46,No HS,RI,1
Female,Black,15,HS,NC,1
Male,White,73,Some College,ME,0
Male,Other,74,No HS,VA,0
Male,Black,46,4-Year College,LA,0
Female,White,26,4-Year College,KY,0
Female,Other,50,4-Year College,NM,1
Female,Black,6,No HS,NM,1
Male,Other,66,4-Year College,NY,0
Male,White,65,Post-Grad,MT,0
Female,Other,27,Post-Grad,TX,0
Male,White,27,No HS,SC,1
Female,Other,38,4-Year College,NH,0
Male,White,3,No HS,RI,1
Female,White,82,Some College,CA,1
Male,White,74,HS,NM,0
Female,Black,21,Some College,NJ,1
Female,Other,85,4-Year College,MO,0
Male,Black,98,4-Year College,NY,1
Male,Other,22,HS,NY,1
Male,Other,73,No HS,KY,1
Male,Black,19,No HS,OH,1
Male,White,68,4-Year College,CO,1
Female,White,43,4-Year College,MS,1
Male,White,97,Some College,MA,0
Female,Black,71,No HS,CA,0
Female,White,1,Post-Grad,PA,1
Female,Other,65,4-Year College,MT,0
Female,White,4,HS,UT,1
Female,White,61,HS,FL,1
Male,Other,50,HS,MA,0
Female,Other,35,No HS,NJ,1
Female,Other,10,HS,UT,1
Female,White,10,Some College,PA,1
Female,Other,16,HS,SD,1
Female,White,74,4-Year College,TN,0
Female,Other,93,HS,MT,0
Female,Other,79,Some College,NH,1
Male,Other,64,Post-Grad,NE,1
Male,White,8,No HS,PR,0
Male,White,66,4-Year College,MS,0
Female,Black,1,No HS,CA,1
Male,Black,8,4-Year College,MS,1
Female,Black,10,No HS,NV,1
Female,Other,22,Post-Grad,KS,1
Female,White,71,Post-Grad,CT,0
Male,Black,93,4-Year College,CA,0
Male,Black,65,No HS,LA,0
Male,Black,80,No HS,CA,0
Male,Other,39,HS,SD,0
Female,Black,85,Post-Grad,CA,1
Male,White,52,Post-Grad,OH,0
Female,Other,43,HS,MI,0
Female,Other,4,Post-Grad,NH,1
Male,Other,21,Some College,PR,1
Male,Other,22,HS,VI,0
Female,Other,67,4-Year College,PR,0
Female,White,68,Post-Grad,MD,0
Male,Other,32,4-Year College,NY,0
Male,Other,9,No HS,GA,1
Male,Black,73,Post-Grad,KY,1
Female,Other,79,Some College,PA,1
Male,White,30,Post-Grad,MI,1
Female,Black,65,Some College,CT,0
Female,Black,81,Some College,IA,0
Female,White,93,Some College,DE,0
Male,Black,88,4-Year College,VA,1
Female,White,18,4-Year College,CO,0
Female,White,52,HS,TX,0
Male,Black,65,Post-Grad,FL,0
Female,Black,6,Some College,HI,1
Male,White,67,4-Year College,NJ,0
Male,White,76,HS,VI,1
Male,White,49,Some College,LA,1
Female,Black,71,HS,CT,1
Female,Other,14,HS,CT,1
Male,Black,30,HS,IL,0
Female,Black,34,Some College,TN,1
Male,White,63,Post-Grad,ME,0
Female,White,66,HS,MN,0
Male,White,78,No HS,NH,0
Male,Black,28,No HS,SC,1
Male,White,51,4-Year College,OH,0
Male,Black,65,4-Year College,ID,0
Male,Other,70,HS,MN,1
Female,White,47,HS,CA,1
Male,White,87,Some College,OR,1
Female,Other,70,4-Year College,NC,0
Female,Black,71,HS,UT,0
Male,Black,66,Some College,MI,0
Female,White,72,No HS,LA,0
Female,Other,60,HS,OR,0
Female,White,71,No HS,MI,0
Male,Other,21,No HS,NE,1
Male,White,39,Some College,NM,0
Female,Black,7,Some College,NJ,1
Male,White,88,Some College,IA,1
Male,White,24,Some College,NH,1
Male,White,33,4-Year College,ME,0
Male,Black,76,Post-Grad,GU,0
Male,Other,55,Some College,TX,0
Female,Other,36,HS,DC,1
Male,Black,5,Post-Grad,GU,1
Female,White,31,Some College,OH,1
Female,Black,98,HS,OR,0
Male,Other,84,4-Year College,NE,1
Male,Black,50,No HS,OR,0
Male,White,83,4-Year College,CT,0
Female,White,73,4-Year College,KY,0
Female,Other,38,No HS,IL,1
Male,Other,40,4-Year College,NM,1
Male,Black,76,Post-Grad,CT,1
Male,Other,2,Post-Grad,GU,1
Female,Other,30,HS,MS,1
Male,Other,45,No HS,OK,1
Male,White,87,4-Year College,NJ,0
Male,Other,51,Some College,DE,1
Male,White,85,4-Year College,RI,1
Female,White,69,Post-Grad,FL,0
Male,Other,78,4-Year College,CA,0
Male,Black,25,HS,KY,1
Female,White,64,Some College,FL,1
Male,Other,7,HS,DC,0
Female,White,69,4-Year College,NY,0
Female,White,37,No HS,MS,1
Male,White,79,No HS,ND,0
Male,Other,51,Post-Grad,SD,1
Female,Black,96,No HS,MO,1
Male,Black,0,Some College,MN,1
Male,Other,36,Some College,MN,0
Male,Black,33,No HS,NE,0
Female,White,69,No HS,OR,0
Male,Black,35,Some College,NH,0
Male,White,93,No HS,OH,0
Male,Other,97,Post-Grad,ID,1
Male,Other,65,Some College,GA,0
Female,White,90,HS,TX,0
Male,Black,12,Some College,TN,0
Female,White,77,Post-Grad,MO,1
Male,White,43,Some College,DC,0
Female,Black,71,4-Year College,OR,0
Female,Other,1,HS,KY,1
Female,White,15,Post-Grad,MN,1
Female,Black,72,Some College,PR,1
Male,Other,86,Some College,ME,1
Male,Black,59,No HS,NE,0
Female,Black,62,No HS,PA,0
Female,Other,13,HS,VI,1
Male,Black,52,HS,CA,0
Male,White,48,Some College,IA,0
Male,Black,21,No HS,CT,0
Male,Black,0,Some College,MO,1
Male,Other,89,HS,LA,0
Female,Other,24,No HS,NC,0
Male,White,25,4-Year College,FL,0
Male,Black,72,HS,HI,0
Female,White,66,Post-Grad,ME,0
Female,White,41,Some College,MN,0
Male,Other,12,No HS,TN,0
Male,Other,13,4-Year College,IA,0
Female,White,65,Post-Grad,DE,1
Female,Other,23,HS,KS,1
Male,White,96,No HS,MA,1
Male,Black,52,Post-Grad,CO,0
Female,White,33,4-Year College,NE,0
Male,White,90,No HS,NV,0
Female,Black,21,4-Year College,TX,0
Male,White,32,No HS,ND,1
Male,White,73,4-Year College,MA,0
Female,White,67,Some College,ND,0
Female,Other,20,No HS,NM,0
Male,Other,18,Some College,MT,1
Male,Black,59,HS,OH,0
Female,Black,26,No HS,MS,1
Male,Other,36,Some College,KY,1
Female,Other,15,4-Year College,KS,0
Female,White,20,HS,VI,0
Female,Other,0,Some College,MN,1
Female,Black,67,HS,OR,0
Male,Other,28,Post-Grad,UT,1
Female,Black,73,4-Year College,MD,0
Male,Other,99,HS,NC,1
Male,Other,67,Some College,SD,1
Male,Other,2,4-Year College,FL,1
Male,White,84,HS,TN,1
Male,Other,68,No HS,HI,0
Male,Black,68,Post-Grad,MN,0
Female,White,78,No HS,TX,1
Male,White,24,No HS,CA,1
Female,Other,79,No HS,NY,1
Female,Other,8,Some College,IN,1
Female,Other,65,Post-Grad,IL,1
Female,Black,96,Some College,IA,1
Female,White,68,No HS,OR,0
Male,White,68,No HS,NC,0
Female,Black,89,Some College,PR,1
Male,Black,18,No HS,MI,0
Female,White,66,Some College,IA,1
Female,Other,90,No HS,MI,1
Female,Other,67,4-Year College,IA,1
Female,Other,28,Some College,IA,1
Male,Black,11,HS,VI,1
Female,White,31,Post-Grad,MA,0
Female,White,84,No HS,SD,0
Female,White,30,HS,PA,0
Female,White,77,Some College,NH,0
Male,Other,78,Post-Grad,OH,1
Male,White,68,Post-Grad,NE,1
Male,Black,67,No HS,ND,1
Female,Black,67,HS,MA,1
Male,White,38,No HS,MO,0
Male,Black,1,Some College,TN,1
Male,Other,7,Some College,NV,1
Male,White,94,Post-Grad,PR,1
Male,White,10,4-Year College,KY,1
Female,White,72,HS,VI,0
Female,Black,98,Post-Grad,TX,1
Female,Other,6,4-Year College,GA,1
Female,Black,88,No HS,VA,0
Female,Black,19,Some College,DC,1
Male,White,26,No HS,IN,0
Female,Black,23,No HS,MA,0
Male,White,1,4-Year College,NH,0
Male,White,53,Some College,MO,0
Male,Other,76,4-Year College,ND,0
Female,Black,12,Some College,RI,1
Male,Black,8,No HS,MI,0
Female,White,98,Some College,LA,1
Female,Other,48,Some College,OR,0
Female,Other,66,No HS,DC,0
Male,Black,72,HS,IA,1
Female,White,69,No HS,SC,0
Male,White,89,No HS,GU,1
Female,White,24,No HS,NM,1
Female,Other,76,No HS,OH,0
Female,White,16,4-Year College,NH,0
Male,White,71,Post-Grad,UT,1
Male,Black,59,Some College,MN,1
Female,Other,52,HS,NH,1
Female,Black,10,No HS,GU,1
Male,Other,98,HS,MO,1
Male,Other,18,4-Year College,OK,1
Female,White,90,Post-Grad,MT,0
Female,Black,71,HS,KY,0
Male,Black,94,HS,MT,0
Female,Other,33,No HS,OR,0
Male,White,63,No HS,VA,0
Male,Other,66,HS,CT,0
Female,Black,18,Post-Grad,ME,1
Female,White,28,4-Year College,KS,1
Female,Black,33,HS,MO,1
Female,Black,66,No HS,HI,0
Female,Black,98,4-Year College,MD,0
Female,Other,98,Post-Grad,MI,1
Female,White,10,Some College,VA,1
Female,Other,6,4-Year College,VI,1
Male,Black,36,HS,DC,1
Female,Black,22,No HS,IL,1
Female,Other,30,No HS,ID,1
Female,Other,73,Post-Grad,NM,0
Female,White,16,Some College,ME,1
Female,Other,6,HS,ME,0
Male,White,44,Post-Grad,CO,0
Female,Other,72,HS,ID,0
Male,Black,63,No HS,GA,1
Male,Black,12,Post-Grad,GA,1
Male,Black,65,Some College,VA,0
Male,Other,80,4-Year College,VI,0
Male,White,96,Post-Grad,FL,1
Male,Black,41,No HS,TN,0
Male,White,81,Post-Grad,OH,1
Male,Black,35,Post-Grad,MD,0
Male,Other,5,Some College,MI,1
Female,Black,9,Some College,MI,1
Female,Black,34,4-Year College,DC,0
Male,Black,34,No HS,MO,1
Female,Other,91,No HS,DC,1
Male,White,19,Post-Grad,MA,1
Male,Black,71,4-Year College,ND,0
Male,Other,23,No HS,DE,0
Female,Other,24,Post-Grad,IA,1
Male,Other,21,No HS,OH,0
Female,White,31,Some College,NY,1
Male,Other,3,HS,PR,0
Female,Black,88,Post-Grad,CO,0
Male,Black,99,Some College,RI,1
Female,Black,31,4-Year College,GU,1
Female,White,24,HS,ID,1
Male,Other,34,Post-Grad,MS,0
Female,Black,5,Some College,NM,0
Male,White,68,No HS,MA,0
Female,Black,37,Some College,HI,1
Female,Other,68,HS,OH,0
Male,Black,5,No HS,LA,1
Female,White,23,No HS,NC,0
Male,Other,27,No HS,OK,1
Female,Other,25,Some College,MO,1
Female,Black,17,No HS,VA,1
Female,White,15,HS,KS,1
Female,Other,26,Post-Grad,NH,0
Female,White,67,Post-Grad,NY,1
Male,Other,73,HS,GU,1
Male,White,31,Post-Grad,VI,1
Male,White,42,Some College,IA,0
Female,White,84,Post-Grad,MS,0
Female,Black,69,No HS,NE,1
Female,Other,26,HS,RI,0
Female,White,80,No HS,DE,1
Female,White,70,No HS,FL,0
Male,Black,47,No HS,CT,0
Male,White,15,Post-Grad,DC,1
Male,Black,12,No HS,MO,0
Female,Other,17,No HS,MA,1
Female,Other,68,HS,RI,0
Female,Black,55,HS,IN,0
Male,Other,31,No HS,IL,1
Male,White,85,Post-Grad,DE,1
Male,Other,5,Some College,ME,0
Male,Black,82,No HS,PR,0
Female,White,10,Some College,DE,1
Female,White,81,Post-Grad,NE,1
Female,Other,0,Post-Grad,SC,1
Male,Other,31,Some College,MD,1
Male,Other,90,4-Year College,SD,0
Male,Other,46,HS,MA,0
Male,White,75,No HS,NM,0
Female,Black,66,HS,MA,0
Female,Black,78,HS,GU,1
Male,Other,26,Some College,OK,0
Male,Black,5,4-Year College,MD,0
Male,Black,92,Post-Grad,VA,0
